name,run,antibody,ug/ml_Ab,libfracsurvive
L1-FI6v3-100ng-ml-r1,SRR5930379,FI6v3,0.1,0.01662
L1-FI6v3-100ng-ml-r2,SRR5930376,FI6v3,0.1,0.0139
L1-FI6v3-200ng-ml-r1,SRR5930378,FI6v3,0.2,0.00465
L1-FI6v3-200ng-ml-r2,SRR5930383,FI6v3,0.2,0.00345
L2-FI6v3-100ng-ml,SRR5930381,FI6v3,0.1,0.02322
L2-FI6v3-200ng-ml,SRR5930380,FI6v3,0.2,0.00278
L3-FI6v3-100ng-ml,SRR5930384,FI6v3,0.1,0.00903
L3-FI6v3-200ng-ml,SRR5930375,FI6v3,0.2,0.00144
L1-S139-100ug-ml,SRR6116992,S139,100.0,0.0249
L1-S139-200ug-ml,SRR6116993,S139,200.0,0.0147
L1-S139-300ug-ml,SRR6116994,S139,300.0,0.0127
L2-S139-100ug-ml,SRR6116990,S139,100.0,0.0219
L2-S139-200ug-ml,SRR6116995,S139,200.0,0.0172
L2-S139-300ug-ml,SRR6116996,S139,300.0,0.00854
L3-S139-100ug-ml,SRR6117015,S139,100.0,0.0518
L3-S139-200ug-ml,SRR6117012,S139,200.0,0.0406
L3-S139-300ug-ml,SRR6117013,S139,300.0,0.0375
L1-C179-1ug-ml-r1,SRR6116997,C179,1.0,0.00941
L1-C179-1ug-ml-r2,SRR6117006,C179,1.0,0.0089
L1-C179-1ug-ml-r3,SRR6117007,C179,1.0,0.0096
L1-C179-2ug-ml,SRR6116998,C179,2.5,0.0045
L2-C179-1ug-ml,SRR6117010,C179,1.0,0.00554
L2-C179-2ug-ml,SRR6117011,C179,2.5,0.00198
L3-C179-1ug-ml,SRR6117016,C179,1.0,0.00256
L3-C179-2ug-ml,SRR6117017,C179,2.5,0.001
L1-H17L19-1ug-ml-r1,SRR4841570,H17L19,1.0,0.0074
L1-H17L19-1ug-ml-r2,SRR4841573,H17L19,1.0,0.00646
L1-H17L19-10ug-ml-r1,SRR4841567,H17L19,10.0,0.00295
L1-H17L19-10ug-ml-r2,SRR4841574,H17L19,10.0,0.00231
L2-H17L19-1ug-ml,SRR4841572,H17L19,1.0,0.01849
L2-H17L19-10ug-ml,SRR4841575,H17L19,10.0,0.00437
L3-H17L19-1ug-ml,SRR4841595,H17L19,1.0,0.01809
L3-H17L19-10ug-ml,SRR4841596,H17L19,10.0,0.00434
L1-H17L10-3ug-ml,SRR4841597,H17L10,3.0,0.00189
L2-H17L10-3ug-ml,SRR4841598,H17L10,3.0,0.00169
L3-H17L10-3ug-ml,SRR4841599,H17L10,3.0,0.00149
L1-H17L7-15ug-ml,SRR4841600,H17L7,15.0,0.00151
L2-H17L7-15ug-ml,SRR4841601,H17L7,15.0,0.00119
L3-H17L7-15ug-ml,SRR4841602,H17L7,15.0,0.00124
L1-mock-r1-A,SRR4841578,none,0.0,1.0
L1-mock-r2-A,SRR4841581,none,0.0,1.0
L2-mock-A,SRR4841580,none,0.0,1.0
L3-mock-A,SRR4841582,none,0.0,1.0
L1-mock-r1-B,SRR6117000,none,0.0,1.0
L1-mock-r2-B,SRR6117001,none,0.0,1.0
L2-mock-B,SRR6117002,none,0.0,1.0
L3-mock-B,SRR6117003,none,0.0,1.0
WTplasmid,SRR6116999,none,0.0,1.0
